,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
5688089,6/11/17 14:55,6/11/17 15:08,795,Suffolk St & Stanton St,W Broadway & Spring St,Subscriber,Male,1998
4096714,5/11/17 15:30,5/11/17 15:41,692,Lexington Ave & E 63 St,1 Ave & E 78 St,Subscriber,Male,1981
2173887,3/29/17 13:26,3/29/17 13:48,1325,1 Pl & Clinton St,Henry St & Degraw St,Subscriber,Male,1987
3945638,5/8/17 19:47,5/8/17 19:59,703,Barrow St & Hudson St,W 20 St & 8 Ave,Subscriber,Female,1986
6208972,6/21/17 7:49,6/21/17 7:54,329,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1992
1285652,2/22/17 18:55,2/22/17 19:12,998,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1986
1675753,3/6/17 16:22,3/6/17 16:30,478,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1982
1692245,3/7/17 7:42,3/7/17 8:49,4038,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1984
2271331,4/2/17 8:02,4/2/17 9:28,5132,1 Ave & E 44 St,Central Park S & 6 Ave,Customer,,
1558339,3/1/17 23:01,3/1/17 23:06,309,State St & Smith St,E 25 St & 2 Ave,Subscriber,Male,1992
2287178,4/2/17 14:37,4/2/17 14:56,1131,State St & Smith St,Little West St & 1 Pl,Customer,,
2744874,4/13/17 13:40,4/13/17 13:45,319,E 3 St & 1 Ave,Liberty St & Broadway,Subscriber,Male,1955
3398180,4/27/17 23:27,4/28/17 0:05,2301,E 10 St & 5 Ave,Columbus Ave & W 72 St,Subscriber,Male,1971
991609,2/13/17 15:40,2/13/17 16:00,1172,E 53 St & 3 Ave,1 Ave & E 44 St,Subscriber,Male,1993
1512596,2/28/17 19:26,2/28/17 19:35,518,E 53 St & 3 Ave,1 Ave & E 44 St,Subscriber,Male,1983
187466,1/11/17 11:30,1/11/17 11:35,285,E 17 St & Broadway,W 17 St & 8 Ave,Subscriber,Male,1972
2195658,3/29/17 20:19,3/29/17 20:24,263,State St & Smith St,Johnson St & Gold St,Subscriber,Male,1982
6388534,6/23/17 21:21,6/23/17 21:30,525,E 2 St & Avenue C,E 11 St & 2 Ave,Subscriber,Female,1997
4733837,5/24/17 8:53,5/24/17 9:04,658,Central Park West & W 76 St,E 72 St & York Ave,Subscriber,Male,1979
5857,1/1/17 13:32,1/1/17 13:49,1038,W 22 St & 8 Ave,W 45 St & 6 Ave,Customer,,
